City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,tecuala,22.3986,-105.4569,29.5,20,0,2.63,MX,1737576382
213,rabo de peixe,37.8,-25.5833,13.73,67,75,3.09,PT,1737576383
214,cabedelo,-6.9811,-34.8339,29.37,64,44,4.82,BR,1737576385
215,mount isa,-20.7333,139.5,26.87,65,37,1.54,AU,1737576386
216,daru,-9.0763,143.2092,27.62,82,100,1.31,PG,1737576387
217,lensk,60.7253,114.9278,-5.78,93,98,3.57,RU,1737576388
218,puerto armuelles,8.2833,-82.8667,26.72,69,6,0.45,PA,1737576390
219,dawesville,30.9224,-84.0091,2.42,57,0,2.57,US,1737576391
220,georgetown,5.4112,100.3354,25.96,98,20,1.54,MY,1737576172
221,businga,3.3333,20.8833,25.03,60,4,1.34,CD,1737576393
222,thompson,55.7435,-97.8558,-22.91,64,20,2.57,CA,1737576394
223,lushun,38.8,121.2667,-8.88,41,6,2.67,CN,1737576396
224,nuriootpa,-34.4833,139.0,14.65,48,100,1.62,AU,1737576397
225,bodo,67.28,14.405,-7.98,67,20,7.2,NO,1737576398
226,arraial do cabo,-22.9661,-42.0278,32.98,74,20,4.63,BR,1737576399
227,berezovyy,51.6667,135.7,-21.94,98,6,1.36,RU,1737576401
228,creston,41.0586,-94.3614,-0.02,64,100,5.14,US,1737576402
229,nagaur,27.2,73.7333,16.41,39,0,3.91,IN,1737576403
230,mil'kovo,55.6078,37.7956,-2.61,51,100,7.06,RU,1737576404
231,la'ie,21.6477,-157.9253,21.14,92,100,0.89,US,1737576407
232,tamanrasset,22.785,5.5228,14.95,11,0,2.57,DZ,1737576408
233,nuku'alofa,-21.1333,-175.2,27.97,80,100,4.52,TO,1737576409
234,mandan,46.8267,-100.8896,-8.44,76,75,10.29,US,1737576411
235,saudarkrokur,65.7461,-19.6394,-7.78,79,3,5.54,IS,1737576412
236,seydi,39.4816,62.9137,0.1,57,6,3.43,TM,1737576413
237,kone,-21.0595,164.8658,24.14,73,100,0.87,NC,1737576414
238,soc trang,9.6033,105.98,21.58,88,100,1.73,VN,1737576416
239,holualoa,19.6228,-155.9522,24.35,55,75,3.09,US,1737576418
240,kangding,30.0513,101.9603,4.9,66,28,1.03,CN,1737576419
